<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
,,260331,0,37.33,38.11,35.35,35.7,18.40M
,,260330,0,37.91,39.93,37.88,39.16,15.82M
,,260327,0,37.34,39.8,37.17,39.41,16.45M
,,260326,0,34.98,36.81,34.53,36.62,13.24M
,,260325,0,34.08,35.17,33.77,34.25,11.19M
,,260324,0,35.32,35.54,33.7,35.01,16.08M
,,260323,0,33.58,35.14,32.73,34.33,17.51M
,,260320,0,33.92,36.58,33.77,35.97,19.08M
,,260319,0,36.33,36.71,32.97,33.77,20.07M
,,260318,0,32.99,34.8,32.79,34.68,15.42M
,,260317,0,31.89,32.28,31.4,31.99,10.37M
,,260316,0,33.8,33.84,32.36,32.46,13.50M
,,260313,0,33.6,35.17,33.01,35.1,14.50M
,,260312,0,33.81,34.6,33.3,34.45,16.73M
,,260311,0,33.26,33.81,32.19,32.26,10.83M
,,260310,0,32.31,33.88,30.75,33.71,15.22M
,,260309,0,36.1,37.43,31.67,32.28,27.26M
,,260306,0,33.82,35.76,32.89,35.67,24.47M
,,260305,0,30.35,32.73,29.86,31.37,17.88M
,,260304,0,30.29,30.51,28.99,29.47,10.34M
,,260303,0,31.53,33.69,29.76,30.48,25.07M
,,260302,0,30.59,30.66,28.72,29.26,12.95M
,,260227,0,29.17,29.5,28.34,28.9,10.34M
,,260226,0,27.27,28.84,27.23,27.72,10.28M
,,260225,0,27.94,28.06,27.37,27.38,5.72M
,,260224,0,29.43,29.75,28.35,28.49,5.82M
,,260223,0,28.44,29.65,28.03,29.44,10.48M
,,260220,0,29.54,29.68,28.02,28.37,13.98M
,,260219,0,29.05,29.57,28.75,28.98,9.43M
,,260218,0,28.35,28.67,27.63,28.26,9.41M
,,260217,0,29.48,30.22,28.08,28.27,15.67M
,,260213,0,28.81,29.75,27.76,29.25,18.75M
,,260212,0,26.86,28.92,26.66,28.79,15.06M
,,260211,0,26.52,27.75,26.48,27.12,8.20M
,,260210,0,26.71,27.19,26.54,27.17,7.66M
,,260209,0,27.51,27.63,26.51,26.6,7.46M
,,260206,0,28.48,28.58,27.34,27.62,9.95M
,,260205,0,28.75,29.77,28.07,29.35,17.61M
,,260204,0,27.09,28.84,26.91,27.65,15.82M
,,260203,0,26.28,28.45,26.19,27.27,12.65M
,,260202,0,27.23,27.3,26.01,26.12,7.95M
,,260130,0,27.43,27.87,26.77,27.5,9.08M
,,260129,0,27.3,28.77,27.1,27.23,12.09M
,,260128,0,26.82,27.31,26.55,26.87,9.22M
,,260127,0,26.49,26.94,26.25,26.94,5.84M
,,260126,0,26.45,26.61,26.14,26.57,7.70M
,,260123,0,26.35,26.6,25.84,26.53,9.29M
,,260122,0,26.29,26.69,26.0,26.0,8.43M
,,260121,0,28.16,28.57,26.4,26.76,22.86M
,,260120,0,28.73,29.88,27.69,29.38,24.21M
,,260116,0,26.15,26.65,26.06,26.42,9.56M
,,260115,0,26.25,26.49,26.02,26.32,10.55M
,,260114,0,27.17,27.85,26.88,27.13,28.13M
,,260113,0,25.72,26.75,25.69,26.53,11.55M
,,260112,0,26.33,26.33,25.78,25.84,6.12M
,,260109,0,26.13,26.43,25.64,25.75,8.01M
,,260108,0,26.57,26.63,26.02,26.25,6.36M
,,260107,0,26.17,26.61,26.14,26.44,7.64M
,,260106,0,26.3,26.37,25.96,26.02,6.02M
,,260105,0,25.85,26.38,25.77,26.38,5.82M
,,260102,0,26.08,26.53,25.93,26.1,6.19M
,,251231,0,26.27,26.67,26.09,26.47,5.69M
,,251230,0,26.61,26.61,26.15,26.28,6.28M
,,251229,0,27.22,27.23,26.43,26.67,7.68M
,,251226,0,26.91,27.32,26.88,26.97,4.96M
,,251224,0,26.98,27.14,26.88,27.06,3.38M
,,251223,0,27.16,27.16,26.89,27.1,5.80M
,,251222,0,27.38,27.46,26.93,26.99,10.51M
,,251219,0,28.7,28.7,27.81,27.86,6.56M
,,251218,0,29.22,29.67,28.78,28.94,9.02M
,,251217,0,29.31,30.08,29.02,29.99,9.19M
,,251216,0,29.7,30.2,29.25,29.53,10.72M
