<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPX;D;160104;000000;2038.2;2038.2;1989.68;2012.66;18228
SPX;D;160105;000000;2013.78;2021.94;2004.17;2016.71;17199
SPX;D;160106;000000;2011.71;2011.71;1979.05;1990.26;17244
SPX;D;160107;000000;1985.32;1985.32;1938.83;1943.09;18499
SPX;D;160108;000000;1945.97;1960.4;1918.46;1922.03;18484
SPX;D;160111;000000;1926.12;1935.65;1901.1;1923.67;18540
SPX;D;160112;000000;1927.83;1947.38;1914.35;1938.68;18892
SPX;D;160113;000000;1940.34;1950.3;1886.41;1890.28;19371
SPX;D;160114;000000;1891.68;1934.47;1879.07;1921.84;19115
SPX;D;160115;000000;1916.68;1916.68;1857.83;1880.33;20060
SPX;D;160119;000000;1888.66;1901.44;1864.6;1881.33;19300
SPX;D;160120;000000;1876.18;1876.18;1812.29;1859.33;20798
SPX;D;160121;000000;1861.46;1889.85;1848.98;1868.99;19860
SPX;D;160122;000000;1877.4;1908.85;1877.4;1906.9;18358
SPX;D;160125;000000;1906.28;1906.28;1875.97;1877.08;16986
SPX;D;160126;000000;1878.79;1906.73;1878.79;1903.63;17973
SPX;D;160127;000000;1902.52;1916.99;1872.7;1882.95;17849
SPX;D;160128;000000;1895.35;1902.96;1873.65;1893.36;18943
SPX;D;160129;000000;1895.36;1940.24;1895.36;1940.24;17754
SPX;D;160201;000000;1936.94;1947.2;1920.3;1939.38;17737
SPX;D;160202;000000;1932.34;1932.34;1897.29;1903.03;18609
SPX;D;160203;000000;1910.08;1918.01;1872.23;1912.53;19999
SPX;D;160204;000000;1911.12;1927.35;1900.52;1915.45;18614
SPX;D;160205;000000;1913.07;1913.07;1872.65;1880.05;19163
SPX;D;160208;000000;1873.25;1873.25;1828.46;1853.44;19485
SPX;D;160209;000000;1845.75;1868.25;1834.94;1852.21;18673
SPX;D;160210;000000;1857.1;1881.6;1850.32;1851.86;18649
SPX;D;160211;000000;1842.35;1842.35;1810.1;1829.08;19553
SPX;D;160212;000000;1835.34;1864.78;1835.34;1864.78;17835
SPX;D;160216;000000;1871.44;1895.74;1871.44;1895.58;17057
SPX;D;160217;000000;1898.8;1930.68;1898.8;1926.82;17168
SPX;D;160218;000000;1928.78;1930;1915.09;1917.83;17129
SPX;D;160219;000000;1916.74;1918.78;1902.17;1917.78;16365
SPX;D;160222;000000;1927.62;1946.7;1927.62;1945.5;15783
SPX;D;160223;000000;1942.38;1942.38;1919.44;1921.27;16247
SPX;D;160224;000000;1910.05;1932.08;1891.02;1929.8;13946
SPX;D;160225;000000;1933.37;1951.83;1925.41;1951.7;15643
SPX;D;160226;000000;1954.95;1962.96;1945.78;1948.05;16806
SPX;D;160229;000000;1947.13;1958.27;1931.81;1932.23;16286
SPX;D;160301;000000;1937.09;1978.35;1937.09;1978.35;16298
SPX;D;160302;000000;1976.6;1986.51;1968.8;1986.45;16329
SPX;D;160303;000000;1985.6;1993.69;1977.37;1993.4;15886
SPX;D;160304;000000;1994.01;2009.13;1986.77;1999.99;16883
