<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VXX;D;210104;0;1073.28;1203.2;1072.0;1166.72;1070107
VXX;D;210105;0;1196.16;1197.44;1119.04;1129.5936;693060
VXX;D;210106;0;1118.08;1152.0;1058.56;1123.2512;1095882
VXX;D;210107;0;1075.2;1079.68;1056.0;1057.28;575698
VXX;D;210108;0;1049.6;1084.1536;1038.784;1046.4;643580
VXX;D;210111;0;1084.8;1113.6;1068.16;1109.76;592990
VXX;D;210112;0;1084.8;1116.8;1068.8;1072.0;503263
VXX;D;210113;0;1071.36;1079.0336;1045.76;1054.08;423215
VXX;D;210114;0;1046.4;1073.28;1032.96;1066.88;566013
VXX;D;210115;0;1083.52;1120.0;1067.52;1093.76;832201
VXX;D;210119;0;1068.16;1083.52;1057.92;1064.32;640531
VXX;D;210120;0;1050.24;1065.6;1038.08;1044.48;524186
VXX;D;210121;0;1044.48;1061.12;1033.6;1035.52;649624
VXX;D;210122;0;1061.12;1067.2;1036.8;1048.96;612961
VXX;D;210125;0;1059.2;1137.6;1052.16;1092.48;1098123
VXX;D;210126;0;1072.64;1082.88;1053.44;1073.28;673334
VXX;D;210127;0;1130.88;1315.84;1128.96;1296.0;1809581
VXX;D;210128;0;1240.32;1297.92;1204.48;1265.92;1116922
VXX;D;210129;0;1298.56;1392.64;1228.16;1347.84;1806352
VXX;D;210201;0;1285.76;1362.56;1254.72;1272.32;920184
VXX;D;210202;0;1210.2464;1213.4336;1152.0;1165.44;609616
VXX;D;210203;0;1138.56;1155.84;1102.08;1104.64;545852
VXX;D;210204;0;1080.32;1082.88;1056.0;1056.64;441312
VXX;D;210205;0;1050.88;1075.84;1050.24;1053.44;514124
VXX;D;210208;0;1048.32;1064.32;1045.12;1045.9072;364470
VXX;D;210209;0;1059.84;1066.88;1036.16;1049.6;499598
VXX;D;210210;0;1042.56;1097.6;1040.64;1066.88;1003062
VXX;D;210211;0;1053.44;1090.56;1040.64;1041.92;727310
VXX;D;210212;0;1051.52;1051.52;1005.44;1007.36;706167
VXX;D;210216;0;1011.84;1029.76;998.4;1018.24;704222
VXX;D;210217;0;1034.24;1051.52;993.92;997.12;814908
VXX;D;210218;0;1025.28;1038.08;992.0;1002.88;795681
VXX;D;210219;0;993.28;996.16;954.88;965.76;829284
VXX;D;210222;0;998.4;1007.36;969.6;1006.08;794414
VXX;D;210223;0;1012.48;1062.4;963.84;965.12;1390752
VXX;D;210224;0;990.72;1000.96;924.16;927.04;872692
VXX;D;210225;0;947.2;1100.8;931.2;1074.56;2336722
VXX;D;210226;0;1029.152;1106.56;1001.6;1024.64;1808440
VXX;D;210301;0;965.12;965.12;937.6;951.04;780599
VXX;D;210302;0;951.68;963.1168;938.24;958.08;745725
VXX;D;210303;0;951.04;999.68;942.72;999.68;1475631
VXX;D;210304;0;987.52;1085.504;965.12;1041.28;1843074
VXX;D;210305;0;1001.6;1071.36;964.48;968.32;1564652
VXX;D;210308;0;969.6;993.28;949.12;984.32;1053742
VXX;D;210309;0;957.44;961.92;933.76;945.3504;792102
VXX;D;210310;0;919.68;940.48;919.68;933.76;673396
VXX;D;210311;0;918.4;920.32;903.68;910.08;624925
VXX;D;210312;0;926.72;929.92;892.8;893.376;676778
VXX;D;210315;0;890.24;896.96;839.04;841.5104;751179
VXX;D;210316;0;840.96;843.52;817.28;842.24;754358
VXX;D;210317;0;851.2;856.0;804.48;805.76;967642
VXX;D;210318;0;823.04;858.24;806.4;849.92;931031
VXX;D;210319;0;845.44;867.84;812.8;817.92;844929
VXX;D;210322;0;807.68;812.16;758.4;764.16;715038
VXX;D;210323;0;769.92;814.4;766.72;800.0;893813
VXX;D;210324;0;783.36;807.68;767.36;807.04;705076
VXX;D;210325;0;812.16;851.2;778.24;782.72;1130480
VXX;D;210326;0;768.64;799.36;742.4;750.08;1158314
VXX;D;210329;0;768.64;791.68;760.96;768.64;919020
VXX;D;210330;0;768.64;777.6;734.72;735.3536;709947
VXX;D;210331;0;728.32;745.6;716.16;730.24;882220
VXX;D;210401;0;720.0;724.48;702.08;707.84;716049
VXX;D;210405;0;685.44;697.28;682.88;689.28;705313
VXX;D;210406;0;688.64;694.08;677.12;689.92;648764
VXX;D;210407;0;689.28;691.52;668.16;671.36;598119
VXX;D;210408;0;661.76;668.16;654.72;661.76;637699
VXX;D;210409;0;666.88;671.04;648.96;659.84;706558
VXX;D;210412;0;664.96;677.76;650.88;650.88;628097
VXX;D;210413;0;650.88;653.44;640.0;645.12;691593
VXX;D;210414;0;648.32;663.68;642.56;659.52;916102
VXX;D;210415;0;643.84;647.04;634.24;637.44;772445
VXX;D;210416;0;637.44;642.56;622.72;627.84;735323
VXX;D;210419;0;632.96;668.8;630.4;650.88;1272937
VXX;D;210420;0;659.2;687.36;653.44;663.68;1266838
VXX;D;210421;0;668.8;677.12;626.56;629.76;774012
